LinkedIn Name,Corpus
Abhilasha Purwar,Abhilasha Purwar currently working Founder CEO Blue Sky Analytics. background includes Fulbright | Yale | IIT alum building Digital Twin Planet Bloomberg Environmental Data enable climate focused decision making decade. Advisory angel investments climate tech platforms female led startups. Writing books fiction stories narratives focussed climate action/ climate tech.
Pratik Mahapatra,"Pratik Mahapatra is the Chief Executive Officer of Grow Green Consortium Pvt Ltd. He is based in Odisha, India. His background includes General Management, Poultry Management, Mining and Livestock Management. He has worked in the environmental services industry for 8 years."
Elangkathir Raja,"Elangkathir Raja is the Co Founder and CEO of environmental services company EETA6. He is based in Tiruppur, Tamil Nadu, India. His background includes Chasing Excellence and Environmental Services industry. He has worked for 3 years 4 months as a CEO and Co Founder."
Malav Dalwadi,Malav Dalwadi is the CEO of T.R. Associates Environment Private Limited. Malav is a microbiologist with dual M.Sc degrees and a PhD in Groundwater Modeling. He is also a certified Environmental Impact Assessment Manager. He has also completed advanced training on ESG Sustainability.
Ashwini K Channan,"Ashwini K Channan is the Chief Executive Officer of Airvoice Air Value Management System. He is based in South Delhi, India. His background includes decades plus experience helped developing clear comprehension of government regulatory legislative environment. He has worked for Airvoice for 1 years 10 months."
Sumit Chowdhury,"Sumit Chowdhury is the Chief Executive Officer of Enviro Group Companies. He has nearly 30 years experience in the field of Research Environmental Services. He is based in Kolkata, West Bengal, India. His background includes almost 30 years of experience in research and environmental services."
Runa Patil,"Runa Patil is the CEO of Element Consultancy Services based in Pune, Maharashtra, India. She has been working for the company for 7 years. Her background includes working in the environment and in the pharmaceutical industry. She is currently working on a number of projects in the township area."
Nikunj Jaisalmeria,"Nikkunj Jaisalmeria is the founder and CEO of ViaGreen Usedless Paper Pvt ltd. He is based in Mumbai, Maharashtra, India. His background includes a Chartered Accountant qualification. He has worked corporate circuit stints at Deloitte and ICICI Bank."
Sayali Joshi,Sayali Joshi is the CEO of Shrishti Eco Research Institute Pune. He is a Microbiologist working in the field of wastewater treatment. Joshi has invented the Soil Scape Filter technology empaneled by the Ministry of Swachh Bharat. He has also designed and implemented situ bioremediation projects.
Vijay Yadav,Vijay Yadav is the Chief Executive of Effwa Infra Research Pvt Ltd. He has 15 years experience in the water wastewater industry. His background includes Chemical Engineering and Water Treatment Pumps. He is a graduate of the University of Mumbai and has a Bachelor Degree in Chemical Engineering.
Hari Krishna Busi,"Hari Krishna Busi is the Chief Executive Officer of QUANTUM RECYCLING FACILITY PRIVATE LIMITED. He is based in Hyderabad Telangana, India. He has been working at the company for 3 years and 5 months. The company has a turnover of more than $1 billion."
Suresh Immanuel Selvaraj,"Suresh Immanuel Selvaraj is the Chief Executive Officer of Indmate Metals Scraps. He is based in Chennai, Tamil Nadu, India. His background includes nan. He has worked in the environmental services industry for 3 years and 1 months."
Manoj Sahu,Manoj Sahu is the Founder Managing Director of RPlanet Integrated Solutions PVT LTD. He is also the CEO of the company. He has worked in the environmental services industry for 6 years. He also has Master Degrees from Amity Business School and the Indian Institute of Foreign Trade.
Gopinath Srinivasa Iyengar,"Gopinath Srinivasa Iyengar is the Chief Executive of nRG Consulting Services Bengaluru. He has worked in the energy industry for 26 years. His background includes PDDs, CDM projects, and renewable energy feasibility studies. He is a graduate of the Indian Institute of Technology, Bengaluru and the Indian National College of Management."
Shaifali Gupta (Finance Consultant),Shaifali Gupta is a Finance Consultant currently working as Chief Executive Officer of Brahmanand Bio Energy Farmer Producer Company limited. He is the co founder of Vasudha Sanrakshan Private Limited waste management company. Shaifali is a dedicated entrepreneur finance professional passion building sustainable businesses.
Jayesh K Vyas,Jayesh K Vyas currently working CEO NTIEM Ahmedabad Narol textile Infrastructure Enviro Management. Background includes 40 years experience field environment management. Strong professional Bachelor Degree   Chemical Engineering L.D College Engineering Ahmedabad. Has worked for 3 years 7 months as CEO.
Akash T,"                 Akash T currently working Chief Executive Officer Bondx. Based Bengaluru Karnataka India nan industry. Currently working as CEO of Bondx in Bengaluru, Karnataka, India. Formerly worked as a graphic designer in Bangalore, Bangalore, Hyderabad, and Hyderabad. He is currently based in Bangalore."
Arnab Ghosh,"                 Arnab Ghosh currently working CEO RockyFeet. Based Leh Ladakh India Leisure Travel Tourism industry. Currently working as CEO for 8 years 8 months. Background includes nan                        background includes nan.                   Arnab Ghosh CEO RockyFeet, based in Leh Ladakhi, India."
Sanju Sharma,"Sanju Sharma is the CEO of Truelife Enterprise. His background includes 17 years experience in the field of agriculture. He is currently based in Gandhinagar, Gujarat, India. He has worked for Gujarat Agro Industries Corporation Ltd since August 2023. He also has a background in plant pathology and molecular biology."
Kedarnath Rao Ghorpade,"Kedarnath Rao Ghorpade is the Chief Executive Officer of KESARI INFRA INDIA PRIVATE LIMITED. His background includes 39 years experience in Urban Environment planning and Urban Sustainability Strategy. His company is based in Mumbai, Maharashtra, India and is involved in private sector financed projects."
Shibabrata Bhattacharjee,"Shibabrata Bhattacharjee is CEO of ENSAFE ENGINEERS. He is based in Thane, Maharashtra, India. He has a background in engineering and is a graduate of the Indian Institute of Technology, Mumbai. He also has a masters degree in engineering from the University of Mumbai."
mohammed kaif,"Mohammed kaif is the founder and CEO of scrapbuzz. He is based in Bengaluru, Karnataka, India. His background includes nan, nan and nan. He has worked in the environmental services industry for more than a decade. He was born in Bangalore, India, and has lived in Karnataka for the past 1.5 years."
Dhruv Bhatt,"Dhruv Bhatt is the Chief Executive Officer of Shivalik Engineer Academy. He is based in Gujarat, India. His background includes calm cool goal oriented smart worker instead of hard worker. He has worked in the nan industry for 5 years and is currently based in India."
Rajiv Kumar,"Rajiv Kumar is the Chief Executive of HVAC Enterprises based in Kolkata, West Bengal, India. His background is in the nan industry and he has worked in the industry for over 30 years. He is also the founder and CEO of a company that makes and sells air conditioning systems."
Jawahar R,"Jawahar R currently working CEO H2o Engineers based in Tamil Nadu, India. Background includes 18 + Years Experience Water Wastewater segment. Having experience Making suitable workable plant proposal designing designing Water Wastwater plant estimates tendering project management handle works starts tendering operation maintenance wastewater projects. Jawahar R is the founder and CEO of the Chennai-based company H2O Engineers."
Vishal.M Vishal,"Vishal M Vishal currently working Chief Executive Officer GHSINFOSYSTEMSPRIVATELTD. background includes nan industry. Vishal is based in India and has worked in the nan industry for 5 years and 1 months. He is a graduate of the Indian Institute of Technology, Kharagpur."
Anju Sasikumar,Anju Sasikumar is the Chief Executive Officer of Ocean Blue Pearls Marine Enviornmental Solutions Pvt Ltd. He is a highly skilled problem solver having foutheen years experience accounts bussiness management. His mission is to serve world protecting rivers oceans plastic pollution maintain enviorn mental standards.
Sanjay Seth,"Sanjay Seth is the Vice President Chief Executive Officer of the GRIHA Council. He is also the Senior Director of the Sustainable Infrastructure Programme at the Energy Resources Institute. He has worked for 8 years at the TERI, which is a leading think tank dedicated to sustainable development."
Shreyash Nandanwar,Shreyash Nandanwar currently working Founder CEO Valuearth. Background includes Practising Architect Urban Management professional. Shreyash holds Master Degree Urban Management CEPT University takes keen interest Urban Realm positive approach solve pressing problems modern cities. He believes plastic waste localized problem cities global level concern planet.
Sayad Shaikh,"Sayad Shaikh is the Chief Executive Officer of Mumbai-based Service Bush. Shaikh's background includes nan, nanotechnology, and strategic management. He is a graduate of Mumbai University and the Indian Institute of Technology, Bombay. He has worked for two years at Service Bush in Mumbai, Mumbai and Mumbai."
Pawan Sut Sharma,"Pawan Sut Sharma is the CEO of Jaya Associates in Jaipur, Rajasthan, India. He has been working in the industry for 9 years and 3 months. He is able to handle large company senior level managing activities related fields meet customer requirement complete satisfaction. His background includes looking experience in different fields."
Usha Krishnaveni,"Usha Krishnaveni is the founder and CEO of Samyuk Sustainable Solutions. She is based in Chennai, Tamil Nadu, India. Her background includes Collaborating B2B clients drive Sustainable future. She has worked in the environmental services industry for two years."
Punit Shishodiya,"Punit Shishodiya is the founder and CEO of Ecosave Labs. He is based in Mumbai, Maharashtra, India. His background is in environmental services and nanotechnology. He has been at the company for 3 years and 7 months. He was born in Mumbai and has lived in Mumbai for the past 3 years."
Bhuwan Bhaskar,Bhuwan Bhaskar is the Chief Executive Officer of RIAN ENVIRO PRIVATE LIMITED. Bhuwan is a graduate of Banaras Hindu University. He has worked in the civil engineering industry for 4 years. He is passionate about environmental issues and sustainable development.
DEEPAK KUMAR PANI,"DeEPAK KUMAR PANI is the Chief Executive Officer of sj Environmental solutions. He is based in Bhubaneswar Odisha, India. His background includes 26 years experience in manufacturing sector projects handling. He has worked in the environmental industry for 5 years and 9 months. For more information, visit sj environmental solutions."
ATS VADIVEL,"phthalmologist is the CEO of ATS WATER TECHNOLOGIES in Chennai, India. His background includes Sales Marketing and he has worked in Chennai for 18 years. He has also worked in New York and London. He is a graduate of the prestigious Wharton School of Business."
